"Triclinius, Demetrius",237854418
"Trithemius, Johannes",95227412
"Zabarella, Francesco",88880190
"Swineshead, Richard",51560374
"Kepler, Johannes",41842150
"Possidius, Saint",77108519
"Fulgentius, Fabius Planciades",102324835
"Platearius, Joannes",48466930
"Clement VIII, Pope",100212973
"Flower, William",29669657
"Tassoni, Alessandro",36932505
"Fulgentius, Saint, Bishop of Ruspa",102324857
"Huygens, Constantijn",12442894
"Zidkiyahu figlio di Abraham, ha-Rofe",17078692
"Fiamma, Galvano",59337070
"Hervet, Gentian",69024568
"Sannazaro, Jacopo",87990970
Alexander the Great,29465720
"Julius II, Pope",51697938
"Norton, Thomas",27069632
"Gundissalinus, Dominicus",89659745
"Boniface IV, Pope",5283998
"Augurelli, Giovanni Aurelio",88062391
"Riese, Adam",34562107
Ordericus Vitalis,51662110
"Charles VI, King of France",280649480
"Lyly, John",49246156
"Glanville, Ranulf de",34524757
"Henry IV, King of France",59094245
"Metochites, Theodoros",100180379
"Thibaud II, King of Navarre",284077046
"Escouchy, Mathieu d'",89139040
"Maturanzio, Francesco",14817319
"Gilberti, Maturino",17270768
"Fenner, Dudley",56762094
"Heydon, Christopher, Sir",34801842
"Chifflet, Claude",20741956
"Claudius, Bishop of Turin",161573050
"Severus, Cornelius",35267067
"Scarperia, Agostino",19029847
"Alfonso XI, King of Castile and Leon",89811460
"Gargilius Martialis, Quintus",61634164
"Polycarp, Saint, Bishop of Smyrna",2475604
"Adriani, Marcello",69835752
"Pablo de Santa Maria, Bishop of Burgos",262636849
"Morosini, Paolo",2624008
"Pedro IV, King of Aragon",24610900
"Mexia, Pedro",24087662
"Clement VI, Pope",51660071
"Charles IV, King of France",286163761
"Charles VII, King of France",266886302
"Leti, Gregorio",4940467
"Bacon, Anthony",41401807
"Loschi, Antonio",45650167
"Tiepolo, Antonio",30433071
"Menabeni, Apollonio",37014542
"Marso, Pietro",100282266
"Barozzi, Pietro",88877519
"Breydenbach, Bernhard von",99942788
"Bungay, Thomas",75274423
"John XXII, Pope",202540506
"Lavynham, Richard",35717526
"Nikolaos, Bishop of Methone",54503577
"Guarini, Battista",54142932
"Corti, Matteo",100170748
"Calvin, Jean",90631825
"Jacquier, Nicolas",228372676
"Innocent V, Pope",59240284
"Baten, Henri",22192561
"Zacuto, Abraham ben Samuel",100216826
"Krantz, Albert",73758808
"Eyb, Albrecht von",22136923
"Montgomerie, Alexander",100909824
"Andrew, Archbishop of Caesarea",71750103
Andronicus Callistus,43284529
"Champier, Symphorien",44308095
"Malchus, Saint",78692803
"Lathbury, John",54497277
"Nowell, Alexander",232099463
"Burchard, Johann",100176359
"Frederick I, Holy Roman Emperor",29635765
"Philip IV, King of France",89086248
"Jean II, King of France",89086351
"Barbaro, Daniel",4959495
Demetrius Cydones,73879608
"Gaffurius, Franchinus",71536697
"Laurent, Dominican",26129909
"Fulbert, Saint, Bishop of Chartres",41811055
"Gelasius I, Pope",50579250
"Claraz, Jorge",95172599
"Foliot, Gilbert",79147743
"Biondo, Giuseppe",238520579
"Fava, Guido",24561532
"Bonfils, Immanuel ben Jacob",260466183
"Salicetus, Bartholomaeus",223182231
"Taccola, Mariano",51661967
"Valturio, Roberto",19885165
"Nifo, Agostino",73879631
"Fonte, Bartolommeo",162949
"Albergati, Fabio",7702109
"Pigafetta, Filippo",7499165
"Patrizi, Francesco",49269849
"Vatablus, Franciscus",17232849
"Galilei, Galileo",2470550
"Harriot, Thomas",76366848
"Henry I, Landgrave of Hesse",264927074
"Xylander, Wilhelm",68983030
"Fortunatus, Venantius Honorius Clementianus",88046472
"Olives, Jaume",85064260
"Bryennius, Manuel",7524861
"Volusianus, Bishop of Carthage",314817933
"Roper, William",120697769
"Rede, William",67621271
"Rolevinck, Werner",12415146
Simeo Sethus,162962022
"Cato, Dionysius",49256470
Nicolas d'Orbelles,69286536
"Bonfadio, Jacopo",30747952
"Hartlieb, Johann",24668203
Joannes Jacobi,97934139
"Canis, Johannes Jacobus",100247866
"Clement IV, Pope",227434221
"Charles V, Holy Roman Emperor",88598818
"Damasus I, Pope",267405622
"Foscarari, Egidio",2222208
"Martini, Francesco di Giorgio",56688760
"Martini, Francesco",56688760
Bono Giamboni,22211055
"Gascoigne, George",88849075
"Sermini, Gentile",9019318
"Pachymeres, George",39429158
"Maffei, Giovanni Pietro",95224833
"Isaac, Bishop of Nineveh",401332
"Zonaras, Joannes",165059778
"Sharpe, John",37068105
"Ariosto, Lodovico",71386455
"Fiamma, Gabriele",88878886
"Valerius Flaccus, Gaius",100899421
"Dethick, Gilbert",39206049
"Bonsignori, Giovanni",48990256
"Donato, Girolamo",41985980
"Tifernate, Gregorio",100227533
"Gregory IV, Pope",52047050
"Henry III, King of England",77110636
"Henry II, King of England",72188719
"Henry III, King of France",5774506
"Aliotti, Girolamo",15933190
"Ries, Abraham",27912855
"Barbarigo, Agostino",40180602
"Fleetwood, William",49248091
"Simocatta, Theophylactus",164779534
"Pullen, Robert",62344901
"Symmachus, Quintus Aurelius",98247027
"Publilius, Syrus",22130553
"Gringore, Pierre",29543440
"Ellebaudt, Nicaise",37710460
"Grimani, Marino",45755955
"Vigerius, Marcus",293545319
"Altieri, Marco Antonio",37046324
"Hardyng, John",90770122
"Chetwynd, John",12651317
"Segovia, Juan de",18017000
"Savile, John, Sir",58032258
"Julian, Emperor of Rome",57406701
"Julius III, Pope",36912739
"Auria, Giuseppe",33643839
"Leo IX, Pope",12317090
"Louis XII, King of France",88890786
"Louis IX, King of France",89182909
"Guicciardini, Luigi",18021497
"Santa Sofia, Marsilio",28129318
"Ermengaud, Matfre",2469888
"Mary, Queen of Scots",104722318
"Babington, Anthony",25848667
"Choniates, Nicetas",173145785
"Naldi, Naldo",25329866
"Macchellus, Nicolaus",59201180
"Paulinus II, Saint",3268904
"Commynes, Philippe de",92478972
